Variabile,Correlazione con Accuratezza
Utilizzo CPU (%),0.16723339825835573
Utilizzo memoria (%),-0.18849636954702081
Tempo inferenza (s),0.5242205861773522
Consumo energia (J),0.5368678841012469
Peso del modello (KB),-0.07161504681180075
