Variabile,Correlazione con Accuratezza
Utilizzo CPU (%),-0.25976967390377653
Utilizzo memoria (%),-0.17324171163269617
Tempo inferenza (s),0.6795006500203221
Consumo energia (J),0.6727218219895894
Peso del modello (KB),-0.29404876150878484
